
Task	Done	Delay	Skip	Start		Range Start	Range End	Interval		Is-Due	Last Done	Effort	Start Task At	Earliest Completed	Sync Due		Archive
Wash Ski Gear	FALSE		FALSE	FALSE				0		FALSE							FALSE
Wash Camping	FALSE		FALSE	FALSE				0		FALSE							FALSE
Wash Mop Heads	FALSE		FALSE	FALSE				0		FALSE							FALSE
Wash Evelyn's Jersey	FALSE		FALSE	FALSE				0		FALSE							FALSE
Wash sleeping bag	FALSE		FALSE	FALSE				0		FALSE							FALSE
Wash Laundry Sacks	FALSE		FALSE	FALSE				0		FALSE							FALSE
Wash new clothes	FALSE		FALSE	FALSE				0		FALSE							FALSE
	FALSE		FALSE	FALSE						FALSE							FALSE
Drop off Dry cleaning	FALSE		FALSE	FALSE				0		FALSE	5/23/2026			5/23/2026			FALSE
Pickup Dry cleaning	FALSE		FALSE	FALSE		5/27		0		FALSE	7/16/2026			5/27/2026			FALSE
